content,fake,processed_text,stemmer,sentiment_score,emotions,emotion_2
either masks work or they don t if masks work then physical distancing and lockdowns are unnecessary ,1,"['either', 'masks', 'work', 'masks', 'work', 'physical', 'distancing', 'lockdowns', 'unnecessary']","['either', 'mask', 'work', 'mask', 'work', 'physic', 'distanc', 'lockdown', 'unnecessari']",0.0,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.5, 'surprise': 0.0, 'positive': 0.5, 'negative': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0}",confusion
the rt pcr test for the virus that causes covid 19 detects human dna on chromosome 8 therefore all tests will give a positive result,1,"['pcr', 'test', 'virus', 'causes', 'covid', '19', 'detects', 'human', 'dna', 'chromosome', '8', 'therefore', 'tests', 'give', 'positive', 'result']","['pcr', 'test', 'viru', 'caus', 'covid', '19', 'detect', 'human', 'dna', 'chromosom', '8', 'therefor', 'test', 'give', 'posit', 'result']",0.0,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.0, 'negative': 0.5, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0, 'anticipation': 0.5}",approval
the governor of maine has ordered restaurant staff to wear dog cone style face visors as a precautionary measure against covid 19 ,1,"['governor', 'maine', 'ordered', 'restaurant', 'staff', 'wear', 'dog', 'cone', 'style', 'face', 'visors', 'precautionary', 'measure', 'covid', '19']","['governor', 'main', 'order', 'restaur', 'staff', 'wear', 'dog', 'cone', 'style', 'face', 'visor', 'precautionari', 'measur', 'covid', '19']",0.0,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.75, 'surprise': 0.0, 'positive': 0.0, 'negative': 0.25, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0}",neutral
the survival rate of covid 19 is close to 100 without a vaccine so what exactly will the purpose of the new vaccine be ,1,"['survival', 'rate', 'covid', '19', 'close', '100', 'without', 'vaccine', 'exactly', 'purpose', 'new', 'vaccine']","['surviv', 'rate', 'covid', '19', 'close', '100', 'without', 'vaccin', 'exactli', 'purpos', 'new', 'vaccin']",0.0,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 1.0, 'negative': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0}",curiosity
misleading claims about covid 19 vaccine spread by plandemic video,1,"['misleading', 'claims', 'covid', '19', 'vaccine', 'spread', 'plandemic', 'video']","['mislead', 'claim', 'covid', '19', 'vaccin', 'spread', 'plandem', 'video']",0.0,"{'fear': 0.0, 'anger': 0.25, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.25, 'negative': 0.25, 'sadness': 0.0, 'disgust': 0.25, 'joy': 0.0}",neutral
hydroxychloroquine azithromycin and zinc cure covid 19,1,"['hydroxychloroquine', 'azithromycin', 'zinc', 'cure', 'covid', '19']","['hydroxychloroquin', 'azithromycin', 'zinc', 'cure', 'covid', '19']",0.0,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.0, 'negative': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0}",neutral
a group called america s frontline doctors are featured in viral video claiming hydroxychloroquine cures covid 19 ,1,"['group', 'called', 'america', 'frontline', 'doctors', 'featured', 'viral', 'video', 'claiming', 'hydroxychloroquine', 'cures', 'covid', '19']","['group', 'call', 'america', 'frontlin', 'doctor', 'featur', 'viral', 'video', 'claim', 'hydroxychloroquin', 'cure', 'covid', '19']",0.0,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.0, 'negative': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0}",neutral
wearing a face mask to slow the spread of covid 19 could cause legionnaires disease ,1,"['wearing', 'face', 'mask', 'slow', 'spread', 'covid', '19', 'could', 'cause', 'legionnaires', 'disease']","['wear', 'face', 'mask', 'slow', 'spread', 'covid', '19', 'could', 'caus', 'legionnair', 'diseas']",0.0,"{'fear': 0.2, 'anger': 0.2, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.0, 'negative': 0.2, 'sadness': 0.2, 'disgust': 0.2, 'joy': 0.0}",caring
a facebook video claims that a new oral spray deactivates 98 of the coronavirus in the mouth this effect is believed to be partly due to the ability of trypsin to sever proteins on the surface of the sars cov 2 virus ,1,"['facebook', 'video', 'claims', 'new', 'oral', 'spray', 'deactivates', '98', 'coronavirus', 'mouth', 'effect', 'believed', 'partly', 'due', 'ability', 'trypsin', 'sever', 'proteins', 'surface', 'sars', 'cov', '2', 'virus']","['facebook', 'video', 'claim', 'new', 'oral', 'spray', 'deactiv', '98', 'coronaviru', 'mouth', 'effect', 'believ', 'partli', 'due', 'abil', 'trypsin', 'sever', 'protein', 'surfac', 'sar', 'cov', '2', 'viru']",0.0,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.2, 'surprise': 0.2, 'positive': 0.2, 'negative': 0.4, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0}",neutral
5g generates the coronavirus sars cov 2 in human skin cells ,1,"['5g', 'generates', 'coronavirus', 'sars', 'cov', '2', 'human', 'skin', 'cells']","['5g', 'gener', 'coronaviru', 'sar', 'cov', '2', 'human', 'skin', 'cell']",0.0,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.0, 'negative': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0}",neutral
