content,fake,processed_text,stemmer,sentiment_score,emotions,emotion_2
the u s cdc quietly updated their numbers in august to show that only 6 of all coronavirus deaths were completely due to the coronavirus alone,1,"['u', 'cdc', 'quietly', 'updated', 'numbers', 'august', 'show', '6', 'coronavirus', 'deaths', 'completely', 'due', 'coronavirus', 'alone']","['u', 'cdc', 'quietli', 'updat', 'number', 'august', 'show', '6', 'coronaviru', 'death', 'complet', 'due', 'coronaviru', 'alon']",-0.5222,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.25, 'surprise': 0.0, 'positive': 0.75, 'negative': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0}",realization
social media posts shared thousands of times and retweeted by president donald trump claim the u s centers for disease control and prevention cut the national covid 19 death toll by 94 citing a cdc comorbidity chart ,1,"['social', 'media', 'posts', 'shared', 'thousands', 'times', 'retweeted', 'president', 'donald', 'trump', 'claim', 'u', 'centers', 'disease', 'control', 'prevention', 'cut', 'national', 'covid', '19', 'death', 'toll', '94', 'citing', 'cdc', 'comorbidity', 'chart']","['social', 'media', 'post', 'share', 'thousand', 'time', 'retweet', 'presid', 'donald', 'trump', 'claim', 'u', 'center', 'diseas', 'control', 'prevent', 'cut', 'nation', 'covid', '19', 'death', 'toll', '94', 'cite', 'cdc', 'comorbid', 'chart']",-0.5508000000000001,"{'fear': 0.1111111111111111, 'anger': 0.1111111111111111, 'anticip': 0.0, 'trust': 0.1111111111111111, 'surprise': 0.1111111111111111, 'positive': 0.1111111111111111, 'negative': 0.1111111111111111, 'sadness': 0.1111111111111111, 'disgust': 0.1111111111111111, 'joy': 0.0, 'anticipation': 0.1111111111111111}",neutral
the cdc updated the covid 19 number to admit that only 6 of all the 153 504 deaths recorded actually died from covid 19 ,1,"['cdc', 'updated', 'covid', '19', 'number', 'admit', '6', '153', '504', 'deaths', 'recorded', 'actually', 'died', 'covid', '19']","['cdc', 'updat', 'covid', '19', 'number', 'admit', '6', '153', '504', 'death', 'record', 'actual', 'die', 'covid', '19']",-0.9193,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.0, 'negative': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0}",neutral
 hydroxychloroquine is why uganda with a population of 43m has only 15 covid 19 deaths ,1,"['hydroxychloroquine', 'uganda', 'population', '43m', '15', 'covid', '19', 'deaths']","['hydroxychloroquin', 'uganda', 'popul', '43m', '15', 'covid', '19', 'death']",-0.5994,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 1.0, 'negative': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0}",neutral
the overall lethality of covid 19 infection fatality rate is about 0 1 to 0 3 and thus in the range of a severe influenza up to 60 of all persons may already have a certain cellular background immunity to the new coronavirus due to contact with previous coronaviruses i e cold viruses there is still little to no scientific evidence for the effectiveness of cloth face masks in healthy and asymptomatic individuals,1,"['overall', 'lethality', 'covid', '19', 'infection', 'fatality', 'rate', '0', '1', '0', '3', 'thus', 'range', 'severe', 'influenza', '60', 'persons', 'may', 'already', 'certain', 'cellular', 'background', 'immunity', 'new', 'coronavirus', 'due', 'contact', 'previous', 'coronaviruses', 'e', 'cold', 'viruses', 'still', 'little', 'scientific', 'evidence', 'effectiveness', 'cloth', 'face', 'masks', 'healthy', 'asymptomatic', 'individuals']","['overal', 'lethal', 'covid', '19', 'infect', 'fatal', 'rate', '0', '1', '0', '3', 'thu', 'rang', 'sever', 'influenza', '60', 'person', 'may', 'alreadi', 'certain', 'cellular', 'background', 'immun', 'new', 'coronaviru', 'due', 'contact', 'previou', 'coronavirus', 'e', 'cold', 'virus', 'still', 'littl', 'scientif', 'evid', 'effect', 'cloth', 'face', 'mask', 'healthi', 'asymptomat', 'individu']",-0.2691,"{'fear': 0.18181818181818182, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.09090909090909091, 'surprise': 0.0, 'positive': 0.2727272727272727, 'negative': 0.36363636363636365, 'sadness': 0.09090909090909091, 'disgust': 0.0, 'joy': 0.0}",neutral
our chance of not dying from covid 19 is 99 96 ,1,"['chance', 'dying', 'covid', '19', '99', '96']","['chanc', 'die', 'covid', '19', '99', '96']",-0.5994,"{'fear': 0.16666666666666666, 'anger': 0.16666666666666666, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.16666666666666666, 'positive': 0.0, 'negative': 0.16666666666666666, 'sadness': 0.16666666666666666, 'disgust': 0.16666666666666666, 'joy': 0.0}",neutral
would you take a vaccine with a 33 death rate to feel safe from a virus with a 0 06 death rate ,1,"['would', 'take', 'vaccine', '33', 'death', 'rate', 'feel', 'safe', 'virus', '0', '06', 'death', 'rate']","['would', 'take', 'vaccin', '33', 'death', 'rate', 'feel', 'safe', 'viru', '0', '06', 'death', 'rate']",-0.7584000000000001,"{'fear': 0.10526315789473684, 'anger': 0.10526315789473684, 'anticip': 0.0, 'trust': 0.05263157894736842, 'surprise': 0.10526315789473684, 'positive': 0.10526315789473684, 'negative': 0.15789473684210525, 'sadness': 0.10526315789473684, 'disgust': 0.10526315789473684, 'joy': 0.05263157894736842, 'anticipation': 0.10526315789473684}",curiosity
sweden has a lower covid 19 death rate than spain italy and the u k even though it never had a lockdown,1,"['sweden', 'lower', 'covid', '19', 'death', 'rate', 'spain', 'italy', 'u', 'k', 'even', 'though', 'never', 'lockdown']","['sweden', 'lower', 'covid', '19', 'death', 'rate', 'spain', 'itali', 'u', 'k', 'even', 'though', 'never', 'lockdown']",-0.8954,"{'fear': 0.1111111111111111, 'anger': 0.1111111111111111, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.1111111111111111, 'positive': 0.0, 'negative': 0.2222222222222222, 'sadness': 0.2222222222222222, 'disgust': 0.1111111111111111, 'joy': 0.0, 'anticipation': 0.1111111111111111}",neutral
a large country randomized controlled trial with 2 7 billion people shows that covid 19 patients treated with hydroxychloroquine have a 79 1 lower death rate,1,"['large', 'country', 'randomized', 'controlled', 'trial', '2', '7', 'billion', 'people', 'shows', 'covid', '19', 'patients', 'treated', 'hydroxychloroquine', '79', '1', 'lower', 'death', 'rate']","['larg', 'countri', 'random', 'control', 'trial', '2', '7', 'billion', 'peopl', 'show', 'covid', '19', 'patient', 'treat', 'hydroxychloroquin', '79', '1', 'lower', 'death', 'rate']",-0.4935,"{'fear': 0.1111111111111111, 'anger': 0.1111111111111111, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.1111111111111111, 'positive': 0.0, 'negative': 0.2222222222222222, 'sadness': 0.2222222222222222, 'disgust': 0.1111111111111111, 'joy': 0.0, 'anticipation': 0.1111111111111111}",neutral
posts shared thousands of times on social media claim legionnaires disease a serious type of pneumonia can be contracted through reusable face masks implying that it could be mistaken for covid 19 ,1,"['posts', 'shared', 'thousands', 'times', 'social', 'media', 'claim', 'legionnaires', 'disease', 'serious', 'type', 'pneumonia', 'contracted', 'reusable', 'face', 'masks', 'implying', 'could', 'mistaken', 'covid', '19']","['post', 'share', 'thousand', 'time', 'social', 'media', 'claim', 'legionnair', 'diseas', 'seriou', 'type', 'pneumonia', 'contract', 'reusabl', 'face', 'mask', 'impli', 'could', 'mistaken', 'covid', '19']",-0.0652,"{'fear': 0.3, 'anger': 0.1, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.0, 'negative': 0.4, 'sadness': 0.1, 'disgust': 0.1, 'joy': 0.0}",neutral
if masks were effective and necessary non mask wearers should be dead by now,1,"['masks', 'effective', 'necessary', 'non', 'mask', 'wearers', 'dead']","['mask', 'effect', 'necessari', 'non', 'mask', 'wearer', 'dead']",-0.6486,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.5, 'surprise': 0.0, 'positive': 0.5, 'negative': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0}",neutral
we can t make a vaccine that works for flu no vaccine for the respiratory syncytial virus rsv and we can t cure cancer yet somehow scientists can make a vaccine for covid 19 in six months ,1,"['make', 'vaccine', 'works', 'flu', 'vaccine', 'respiratory', 'syncytial', 'virus', 'rsv', 'cure', 'cancer', 'yet', 'somehow', 'scientists', 'make', 'vaccine', 'covid', '19', 'six', 'months']","['make', 'vaccin', 'work', 'flu', 'vaccin', 'respiratori', 'syncyti', 'viru', 'rsv', 'cure', 'cancer', 'yet', 'somehow', 'scientist', 'make', 'vaccin', 'covid', '19', 'six', 'month']",-1.0415,"{'fear': 0.18181818181818182, 'anger': 0.09090909090909091, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.2727272727272727, 'negative': 0.2727272727272727, 'sadness': 0.09090909090909091, 'disgust': 0.09090909090909091, 'joy': 0.0}",disapproval
herman cain one time republican presidential candidate died of colon cancer not covid 19 ,1,"['herman', 'cain', 'one', 'time', 'republican', 'presidential', 'candidate', 'died', 'colon', 'cancer', 'covid', '19']","['herman', 'cain', 'one', 'time', 'republican', 'presidenti', 'candid', 'die', 'colon', 'cancer', 'covid', '19']",-1.2591,"{'fear': 0.14285714285714285, 'anger': 0.14285714285714285, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.14285714285714285, 'negative': 0.14285714285714285, 'sadness': 0.14285714285714285, 'disgust': 0.14285714285714285, 'joy': 0.0, 'anticipation': 0.14285714285714285}",neutral
the truck depicting the god of death anubis is aimed at testing and then infecting people which eventually ends with human microchipping ,1,"['truck', 'depicting', 'god', 'death', 'anubis', 'aimed', 'testing', 'infecting', 'people', 'eventually', 'ends', 'human', 'microchipping']","['truck', 'depict', 'god', 'death', 'anubi', 'aim', 'test', 'infect', 'peopl', 'eventu', 'end', 'human', 'microchip']",-0.3262,"{'fear': 0.15384615384615385, 'anger': 0.07692307692307693, 'anticip': 0.0, 'trust': 0.15384615384615385, 'surprise': 0.07692307692307693, 'positive': 0.07692307692307693, 'negative': 0.07692307692307693, 'sadness': 0.07692307692307693, 'disgust': 0.07692307692307693, 'joy': 0.07692307692307693, 'anticipation': 0.15384615384615385}",neutral
the nasal swab test for covid 19 damages the blood brain barrier and can therefore lead to brain infections ,1,"['nasal', 'swab', 'test', 'covid', '19', 'damages', 'blood', 'brain', 'barrier', 'therefore', 'lead', 'brain', 'infections']","['nasal', 'swab', 'test', 'covid', '19', 'damag', 'blood', 'brain', 'barrier', 'therefor', 'lead', 'brain', 'infect']",-0.128,"{'fear': 0.0, 'anger': 0.16666666666666666, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.16666666666666666, 'negative': 0.5, 'sadness': 0.16666666666666666, 'disgust': 0.0, 'joy': 0.0}",neutral
the centers for disease control and prevention made a mistake and has lowered its covid 19 case count in florida ,1,"['centers', 'disease', 'control', 'prevention', 'made', 'mistake', 'lowered', 'covid', '19', 'case', 'count', 'florida']","['center', 'diseas', 'control', 'prevent', 'made', 'mistak', 'lower', 'covid', '19', 'case', 'count', 'florida']",-0.2702,"{'fear': 0.14285714285714285, 'anger': 0.07142857142857142, 'anticip': 0.0, 'trust': 0.07142857142857142, 'surprise': 0.0, 'positive': 0.14285714285714285, 'negative': 0.21428571428571427, 'sadness': 0.21428571428571427, 'disgust': 0.07142857142857142, 'joy': 0.0, 'anticipation': 0.07142857142857142}",neutral
